Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,Product_Category,Product_Subcategory,Product_ID,Units_Sold, Unit_Price , Discount_Percentage , Total_Sales , COGS , Profit , Shipping_Cost ,Sales_Region,Customer_Satisfaction,Payment_Method,Repeat_Customer
O1000,01/01/2023,C202,47,Female,Clothing,Laptops,P2993,7, AED493.03 , AED0.03 ," AED3,347.67 "," AED1,770.77 "," AED1,576.90 ", AED7.18 ,Asia,2,Credit Card,Yes
O1001,02/01/2023,C535,32,Male,Groceries,Smartphones,P1869,5, AED397.73 , AED0.21 ," AED1,571.03 ", AED967.99 , AED603.05 , AED18.57 ,North America,1,PayPal,Yes
O1002,03/01/2023,C960,44,Female,Clothing,Smartphones,P2014,4, AED304.68 , AED0.09 ," AED1,109.04 ", AED945.89 , AED163.15 , AED19.53 ,Asia,4,PayPal,Yes
O1003,04/01/2023,C370,68,Male,Groceries,Vegetables,P1602,7, AED176.22 , AED0.08 ," AED1,134.86 ", AED634.16 , AED500.69 , AED19.88 ,Asia,5,Credit Card,No
O1000,01/01/2023,C202,47,Female,Clothing,Laptops,P2993,7, AED493.03 , AED0.03 ," AED3,347.67 "," AED1,770.77 "," AED1,576.90 ", AED7.18 ,Asia,2,Credit Card,Yes
O1001,02/01/2023,C535,32,Male,Groceries,Smartphones,P1869,5, AED397.73 , AED0.21 ," AED1,571.03 ", AED967.99 , AED603.05 , AED18.57 ,North America,1,PayPal,Yes
O1002,03/01/2023,C960,44,Female,Clothing,Smartphones,P2014,4, AED304.68 , AED0.09 ," AED1,109.04 ", AED945.89 , AED163.15 , AED19.53 ,Asia,4,PayPal,Yes
O1003,04/01/2023,C370,68,Male,Groceries,Vegetables,P1602,7, AED176.22 , AED0.08 ," AED1,134.86 ", AED634.16 , AED500.69 , AED19.88 ,Asia,5,Credit Card,No
O1004,05/01/2023,C206,51,Female,Clothing,T-shirts,P1690,2, AED276.85 , AED0.30 , AED387.59 , AED304.01 , AED83.58 , AED16.85 ,Europe,3,Cash,Yes
O1005,06/01/2023,C171,69,Female,Clothing,T-shirts,P9685,1, AED30.12 , AED0.26 , AED22.29 , AED19.82 , AED2.47 , AED14.95 ,North America,1,Cash,No
O1006,07/01/2023,C800,55,Male,Clothing,Smartphones,P1489,1, AED374.96 , AED0.12 , AED329.96 , AED269.33 , AED60.64 , AED10.19 ,Asia,5,Cash,No
O1007,08/01/2023,C120,50,Female,Clothing,Fruits,P7864,1, AED228.52 , AED0.29 , AED162.25 , AED96.89 , AED65.36 , AED7.57 ,North America,5,PayPal,Yes
O1008,09/01/2023,C714,41,Female,Electronics,Laptops,P8240,5, AED19.81 , AED0.20 , AED79.24 , AED68.41 , AED10.83 , AED6.18 ,Europe,3,Credit Card,Yes
O1009,10/01/2023,C221,32,Male,Clothing,Fruits,P8786,7, AED40.63 , AED0.22 , AED221.84 , AED119.18 , AED102.66 , AED15.40 ,North America,3,Cash,Yes
O1010,11/01/2023,C566,47,Female,Electronics,Fruits,P9024,2, AED199.86 , AED0.01 , AED395.72 , AED271.96 , AED123.76 , AED16.77 ,Europe,3,Credit Card,Yes
O1011,12/01/2023,C314,59,Male,Electronics,Smartphones,P1294,8, AED295.88 , AED0.04 ," AED2,272.36 "," AED1,942.90 ", AED329.45 , AED17.40 ,North America,1,Credit Card,No
O1012,13/01/2023,C430,68,Male,Clothing,Smartphones,P6488,4, AED237.46 , AED0.19 , AED769.37 , AED582.03 , AED187.34 , AED18.71 ,Asia,3,PayPal,No
O1013,14/01/2023,C558,34,Female,Electronics,Smartphones,P5027,3, AED313.41 , AED0.27 , AED686.37 , AED456.75 , AED229.62 , AED18.20 ,Europe,4,Cash,No
O1014,15/01/2023,C187,22,Female,Groceries,Vegetables,P3912,8, AED245.34 , AED0.19 ," AED1,589.80 ", AED981.11 , AED608.70 , AED20.00 ,Asia,5,Credit Card,No
O1015,16/01/2023,C472,46,Female,Clothing,Fruits,P5744,2, AED334.23 , AED0.04 , AED641.72 , AED417.14 , AED224.58 , AED8.66 ,Europe,3,PayPal,Yes
O1016,17/01/2023,C199,21,Female,Electronics,T-shirts,P2873,3, AED117.37 , AED0.03 , AED341.55 , AED240.30 , AED101.24 , AED16.45 ,North America,5,PayPal,No
O1017,18/01/2023,C971,27,Female,Clothing,Laptops,P4258,3, AED65.29 , AED0.25 , AED146.90 , AED92.20 , AED54.70 , AED13.80 ,North America,2,PayPal,Yes
O1018,19/01/2023,C763,34,Female,Clothing,Vegetables,P3817,1, AED302.25 , AED0.04 , AED290.16 , AED257.54 , AED32.62 , AED8.92 ,Europe,2,Cash,Yes
O1019,20/01/2023,C230,27,Female,Clothing,T-shirts,P9636,6, AED247.50 , AED0.16 ," AED1,247.40 "," AED1,089.27 ", AED158.13 , AED19.73 ,Europe,3,Cash,No
O1020,21/01/2023,C761,34,Male,Electronics,Fruits,P4641,2, AED23.17 , AED0.01 , AED45.88 , AED38.92 , AED6.96 , AED18.47 ,Europe,5,PayPal,No
O1021,22/01/2023,C408,37,Female,Groceries,Smartphones,P5458,1, AED196.44 , AED0.02 , AED192.51 , AED128.74 , AED63.77 , AED6.93 ,North America,2,Cash,No
O1022,23/01/2023,C869,41,Male,Groceries,Fruits,P6307,2, AED62.00 , AED0.20 , AED99.20 , AED77.03 , AED22.17 , AED5.39 ,Europe,3,Cash,No
O1023,24/01/2023,C443,22,Female,Electronics,Laptops,P9933,6, AED270.36 , AED0.21 ," AED1,281.51 "," AED1,103.55 ", AED177.96 , AED15.32 ,Europe,5,Credit Card,No
O1024,25/01/2023,C591,51,Female,Clothing,Vegetables,P3041,4, AED203.93 , AED0.10 , AED734.15 , AED616.81 , AED117.34 , AED14.06 ,Asia,3,PayPal,No
O1025,26/01/2023,C513,23,Male,Electronics,Vegetables,P1679,6, AED310.44 , AED0.06 ," AED1,750.88 "," AED1,165.62 ", AED585.27 , AED19.04 ,Europe,5,PayPal,Yes
O1026,27/01/2023,C905,19,Female,Electronics,Laptops,P6738,9, AED404.75 , AED0.24 ," AED2,768.49 "," AED1,508.70 "," AED1,259.79 ", AED8.51 ,Asia,2,Cash,Yes
O1027,28/01/2023,C485,30,Female,Electronics,T-shirts,P6668,8, AED156.84 , AED0.07 ," AED1,166.89 ", AED618.75 , AED548.14 , AED6.27 ,Asia,3,PayPal,Yes
O1028,29/01/2023,C291,60,Male,Clothing,T-shirts,P8697,1, AED481.43 , AED0.16 , AED404.40 , AED295.55 , AED108.85 , AED8.89 ,Asia,2,PayPal,No
O1029,30/01/2023,C376,60,Female,Electronics,Vegetables,P9033,8, AED272.46 , AED0.29 ," AED1,547.57 "," AED1,171.59 ", AED375.98 , AED5.28 ,North America,3,PayPal,Yes
O1030,31/01/2023,C260,65,Female,Clothing,Vegetables,P1062,9, AED312.96 , AED0.04 ," AED2,703.97 "," AED2,271.17 ", AED432.81 , AED5.54 ,Asia,1,Cash,Yes
O1031,01/02/2023,C559,28,Female,Electronics,Smartphones,P8829,6, AED343.53 , AED0.28 ," AED1,484.05 ", AED915.67 , AED568.38 , AED18.72 ,Europe,2,Cash,Yes
O1032,02/02/2023,C413,68,Male,Groceries,T-shirts,P8352,5, AED336.70 , AED0.05 ," AED1,599.32 ", AED906.80 , AED692.53 , AED10.28 ,North America,2,Cash,Yes
O1033,03/02/2023,C121,64,Female,Electronics,Laptops,P7915,6, AED260.38 , AED0.17 ," AED1,296.69 ", AED844.93 , AED451.76 , AED11.16 ,North America,4,Credit Card,Yes
O1034,04/02/2023,C352,40,Female,Electronics,T-shirts,P9326,6, AED220.09 , AED0.11 ," AED1,175.28 ", AED753.86 , AED421.42 , AED5.28 ,North America,2,PayPal,Yes
O1035,05/02/2023,C847,33,Female,Groceries,Smartphones,P4644,9, AED36.35 , AED0.29 , AED232.28 , AED128.45 , AED103.83 , AED9.06 ,North America,5,Credit Card,No
O1036,06/02/2023,C956,48,Female,Clothing,Vegetables,P5970,4, AED20.82 , AED0.08 , AED76.62 , AED58.91 , AED17.71 , AED17.07 ,North America,3,Cash,No
O1037,07/02/2023,C660,28,Male,Clothing,Vegetables,P9003,2, AED185.40 , AED0.12 , AED326.30 , AED229.55 , AED96.76 , AED14.23 ,North America,1,Credit Card,No
O1038,08/02/2023,C574,33,Male,Electronics,Smartphones,P4278,9, AED173.49 , AED0.29 ," AED1,108.60 ", AED874.08 , AED234.53 , AED16.31 ,North America,5,PayPal,Yes
O1039,09/02/2023,C158,25,Female,Groceries,Laptops,P8296,2, AED199.97 , AED0.16 , AED335.95 , AED215.37 , AED120.58 , AED11.71 ,Asia,5,PayPal,No
O1040,10/02/2023,C610,21,Female,Clothing,Vegetables,P4074,9, AED77.80 , AED0.15 , AED595.17 , AED375.12 , AED220.05 , AED9.65 ,Europe,5,Cash,No
O1041,11/02/2023,C781,57,Male,Electronics,Fruits,P9312,2, AED371.70 , AED0.08 , AED683.93 , AED471.25 , AED212.68 , AED12.24 ,Europe,5,Cash,Yes
O1042,12/02/2023,C575,21,Male,Groceries,Vegetables,P8552,8, AED429.91 , AED0.21 ," AED2,717.03 "," AED2,312.09 ", AED404.94 , AED9.85 ,Asia,1,Credit Card,No
O1043,13/02/2023,C799,42,Female,Clothing,Fruits,P2637,9, AED469.97 , AED-   ," AED4,229.73 "," AED2,183.02 "," AED2,046.71 ", AED17.58 ,Asia,4,Cash,Yes
O1044,14/02/2023,C882,20,Male,Clothing,Smartphones,P6103,9, AED251.26 , AED0.01 ," AED2,238.73 "," AED1,840.08 ", AED398.64 , AED9.47 ,North America,2,Credit Card,No
O1045,15/02/2023,C289,49,Female,Groceries,Smartphones,P1644,9, AED353.42 , AED0.18 ," AED2,608.24 "," AED1,689.08 ", AED919.16 , AED14.90 ,North America,5,PayPal,Yes
O1046,16/02/2023,C786,20,Male,Groceries,Vegetables,P3032,2, AED429.22 , AED0.10 , AED772.60 , AED650.41 , AED122.19 , AED7.05 ,Asia,2,PayPal,Yes
O1047,17/02/2023,C662,44,Male,Groceries,T-shirts,P3761,4, AED214.96 , AED0.29 , AED610.49 , AED501.14 , AED109.35 , AED15.30 ,North America,2,PayPal,No
O1048,18/02/2023,C975,46,Male,Groceries,Fruits,P3068,7, AED161.61 , AED0.27 , AED825.83 , AED528.12 , AED297.71 , AED18.70 ,Europe,5,PayPal,Yes
O1049,19/02/2023,C666,49,Male,Electronics,Laptops,P1241,2, AED469.00 , AED0.21 , AED741.02 , AED576.18 , AED164.84 , AED14.13 ,Europe,4,PayPal,No
O1050,20/02/2023,C343,67,Female,Groceries,Vegetables,P3668,1, AED262.68 , AED0.25 , AED197.01 , AED111.08 , AED85.93 , AED13.40 ,North America,2,Credit Card,Yes
O1051,21/02/2023,C931,68,Male,Clothing,Laptops,P1802,3, AED253.65 , AED0.20 , AED608.76 , AED522.63 , AED86.13 , AED19.42 ,North America,3,PayPal,No
O1052,22/02/2023,C604,36,Male,Clothing,Vegetables,P6059,4, AED97.42 , AED0.04 , AED374.09 , AED247.57 , AED126.52 , AED14.41 ,North America,2,Credit Card,No
O1053,23/02/2023,C230,38,Female,Electronics,T-shirts,P1195,8, AED63.00 , AED0.23 , AED388.08 , AED264.77 , AED123.31 , AED8.89 ,Europe,5,PayPal,Yes
O1054,24/02/2023,C584,22,Male,Clothing,T-shirts,P3187,6, AED422.63 , AED0.06 ," AED2,383.63 "," AED1,864.72 ", AED518.91 , AED9.39 ,North America,1,Credit Card,No
O1055,25/02/2023,C918,35,Male,Clothing,T-shirts,P3330,2, AED310.93 , AED0.10 , AED559.67 , AED463.60 , AED96.08 , AED15.58 ,Asia,2,Credit Card,No
O1056,26/02/2023,C746,45,Female,Groceries,T-shirts,P5841,9, AED169.65 , AED0.25 ," AED1,145.14 ", AED680.83 , AED464.31 , AED16.03 ,North America,4,Credit Card,No
O1057,27/02/2023,C120,59,Male,Clothing,Smartphones,P4606,2, AED103.95 , AED0.16 , AED174.64 , AED133.52 , AED41.12 , AED9.55 ,Asia,3,Cash,Yes
O1058,28/02/2023,C940,39,Female,Electronics,Smartphones,P9468,5, AED282.19 , AED0.26 ," AED1,044.10 ", AED685.77 , AED358.34 , AED10.18 ,North America,3,Credit Card,Yes
O1059,01/03/2023,C266,38,Female,Groceries,Fruits,P1060,4, AED296.12 , AED0.06 ," AED1,113.41 ", AED720.91 , AED392.50 , AED19.87 ,North America,1,Credit Card,No
O1060,02/03/2023,C373,23,Female,Groceries,Laptops,P4927,7, AED111.43 , AED0.18 , AED639.61 , AED496.34 , AED143.27 , AED6.53 ,Europe,1,PayPal,No
O1061,03/03/2023,C487,18,Female,Electronics,Vegetables,P7296,8, AED427.19 , AED0.03 ," AED3,314.99 "," AED2,170.90 "," AED1,144.09 ", AED11.07 ,Asia,2,Credit Card,Yes
O1062,04/03/2023,C700,22,Male,Groceries,Vegetables,P3591,5, AED51.29 , AED0.19 , AED207.72 , AED132.62 , AED75.10 , AED5.94 ,Asia,5,Credit Card,Yes
O1063,05/03/2023,C415,58,Female,Groceries,Smartphones,P9758,5, AED184.49 , AED0.23 , AED710.29 , AED592.63 , AED117.66 , AED17.32 ,Asia,4,Cash,No
O1064,06/03/2023,C113,29,Male,Electronics,Vegetables,P7121,2, AED343.39 , AED0.18 , AED563.16 , AED304.39 , AED258.77 , AED6.39 ,Europe,3,PayPal,Yes
O1065,07/03/2023,C341,43,Male,Groceries,Smartphones,P2200,8, AED144.32 , AED0.08 ," AED1,062.20 ", AED818.27 , AED243.93 , AED15.11 ,Asia,1,Cash,Yes
O1066,08/03/2023,C876,63,Male,Electronics,Fruits,P3854,2, AED415.56 , AED0.01 , AED822.81 , AED493.27 , AED329.54 , AED5.85 ,Europe,4,Cash,No
O1067,09/03/2023,C445,51,Male,Electronics,Laptops,P8024,6, AED372.54 , AED0.04 ," AED2,145.83 "," AED1,086.22 "," AED1,059.61 ", AED15.09 ,North America,5,Cash,Yes
O1068,10/03/2023,C664,66,Male,Clothing,Fruits,P7972,8, AED396.62 , AED0.19 ," AED2,570.10 "," AED1,456.49 "," AED1,113.61 ", AED17.65 ,North America,3,Credit Card,Yes
O1069,11/03/2023,C997,31,Male,Clothing,T-shirts,P1136,6, AED68.36 , AED0.28 , AED295.32 , AED219.32 , AED76.00 , AED10.98 ,Asia,3,Cash,Yes
O1070,12/03/2023,C439,43,Male,Groceries,T-shirts,P2029,4, AED78.87 , AED0.06 , AED296.55 , AED232.39 , AED64.16 , AED12.83 ,North America,5,Cash,No
O1071,13/03/2023,C191,62,Male,Groceries,T-shirts,P3594,4, AED150.37 , AED0.22 , AED469.15 , AED238.53 , AED230.63 , AED11.02 ,North America,3,PayPal,Yes
O1072,14/03/2023,C466,44,Male,Electronics,Fruits,P8206,6, AED263.86 , AED0.26 ," AED1,171.54 ", AED602.84 , AED568.70 , AED9.51 ,Asia,5,PayPal,No
O1073,15/03/2023,C554,26,Male,Groceries,Vegetables,P1661,4, AED376.53 , AED0.16 ," AED1,265.14 "," AED1,089.31 ", AED175.83 , AED17.05 ,North America,3,PayPal,Yes
O1074,16/03/2023,C527,43,Female,Electronics,Laptops,P3472,8, AED419.90 , AED0.20 ," AED2,687.36 "," AED1,422.48 "," AED1,264.88 ", AED9.08 ,Asia,2,PayPal,Yes
O1075,17/03/2023,C608,64,Female,Electronics,T-shirts,P1086,9, AED355.12 , AED0.24 ," AED2,429.02 "," AED2,083.31 ", AED345.72 , AED15.84 ,Asia,5,Cash,No
O1076,18/03/2023,C875,39,Female,Groceries,T-shirts,P7219,1, AED465.01 , AED0.08 , AED427.81 , AED252.95 , AED174.86 , AED8.09 ,North America,4,PayPal,No
O1077,19/03/2023,C134,64,Male,Electronics,T-shirts,P9143,4, AED371.98 , AED0.09 ," AED1,354.01 "," AED1,077.80 ", AED276.21 , AED8.75 ,North America,2,Credit Card,No
O1078,20/03/2023,C305,47,Female,Clothing,Laptops,P7968,4, AED160.07 , AED-   , AED640.28 , AED399.47 , AED240.81 , AED10.05 ,North America,4,Cash,No
O1079,21/03/2023,C180,60,Female,Groceries,T-shirts,P3773,2, AED139.89 , AED0.29 , AED198.64 , AED167.56 , AED31.09 , AED13.84 ,North America,3,PayPal,Yes
O1080,22/03/2023,C661,65,Female,Clothing,Laptops,P2700,6, AED351.13 , AED0.28 ," AED1,516.88 "," AED1,183.44 ", AED333.44 , AED11.82 ,North America,4,Cash,No
O1081,23/03/2023,C971,34,Male,Groceries,T-shirts,P3700,3, AED104.51 , AED0.23 , AED241.42 , AED159.51 , AED81.91 , AED16.18 ,Europe,2,PayPal,No
O1082,24/03/2023,C487,43,Male,Electronics,Fruits,P7815,7, AED55.43 , AED0.02 , AED380.25 , AED201.73 , AED178.52 , AED8.20 ,North America,5,Cash,No
O1083,25/03/2023,C101,53,Male,Groceries,Fruits,P2647,5, AED270.79 , AED0.13 ," AED1,177.94 ", AED934.20 , AED243.74 , AED5.16 ,Europe,1,PayPal,Yes
O1084,26/03/2023,C489,18,Male,Clothing,Laptops,P7038,4, AED412.60 , AED0.03 ," AED1,600.89 "," AED1,195.47 ", AED405.42 , AED16.65 ,Asia,4,Credit Card,Yes
O1085,27/03/2023,C665,25,Female,Electronics,Fruits,P6164,5, AED59.68 , AED-   , AED298.40 , AED149.55 , AED148.85 , AED17.32 ,North America,1,PayPal,No
O1086,28/03/2023,C205,66,Female,Groceries,Laptops,P6520,8, AED398.03 , AED0.18 ," AED2,611.08 "," AED1,315.38 "," AED1,295.70 ", AED5.89 ,North America,4,Cash,No
O1087,29/03/2023,C871,52,Female,Groceries,Fruits,P4687,3, AED407.67 , AED0.29 , AED868.34 , AED715.09 , AED153.25 , AED14.16 ,North America,4,Cash,No
O1088,30/03/2023,C921,69,Female,Groceries,Fruits,P1596,7, AED246.31 , AED0.27 ," AED1,258.64 ", AED759.92 , AED498.73 , AED10.67 ,Asia,5,Credit Card,No
O1089,31/03/2023,C576,32,Male,Clothing,Laptops,P5545,6, AED38.08 , AED0.21 , AED180.50 , AED136.18 , AED44.32 , AED16.91 ,Europe,3,Cash,Yes
O1090,01/04/2023,C802,64,Male,Clothing,Vegetables,P9676,1, AED95.55 , AED0.03 , AED92.68 , AED63.18 , AED29.50 , AED18.12 ,Europe,2,Credit Card,No
O1091,02/04/2023,C501,39,Male,Groceries,Fruits,P9837,7, AED356.64 , AED0.08 ," AED2,296.76 "," AED1,941.62 ", AED355.14 , AED17.77 ,North America,2,Cash,Yes
O1092,03/04/2023,C829,31,Female,Electronics,T-shirts,P5757,7, AED358.77 , AED0.10 ," AED2,260.25 "," AED1,959.15 ", AED301.10 , AED16.66 ,North America,2,Cash,No
O1093,04/04/2023,C655,43,Male,Electronics,Vegetables,P5384,1, AED450.19 , AED0.23 , AED346.65 , AED311.54 , AED35.11 , AED9.04 ,North America,3,Credit Card,No
O1094,05/04/2023,C261,45,Male,Clothing,Laptops,P9912,9, AED295.52 , AED0.24 ," AED2,021.36 "," AED1,134.94 ", AED886.42 , AED17.18 ,North America,1,Cash,Yes
O1095,06/04/2023,C301,40,Female,Electronics,Vegetables,P5733,6, AED70.81 , AED0.12 , AED373.88 , AED316.00 , AED57.88 , AED13.00 ,Asia,2,Cash,No
O1096,07/04/2023,C369,31,Female,Clothing,Smartphones,P8081,2, AED69.49 , AED0.13 , AED120.91 , AED73.32 , AED47.59 , AED5.79 ,North America,1,Credit Card,No
O1097,08/04/2023,C962,41,Male,Groceries,Smartphones,P9690,5, AED363.35 , AED0.01 ," AED1,798.58 "," AED1,324.34 ", AED474.24 , AED11.85 ,Asia,3,PayPal,No
O1098,09/04/2023,C915,19,Male,Clothing,Fruits,P8117,4, AED100.05 , AED0.09 , AED364.18 , AED255.77 , AED108.41 , AED19.13 ,North America,3,Credit Card,No
O1099,10/04/2023,C370,62,Male,Clothing,Fruits,P5729,7, AED170.91 , AED0.14 ," AED1,028.88 ", AED521.84 , AED507.04 , AED18.32 ,Europe,5,Cash,Yes
O1100,11/04/2023,C555,43,Male,Groceries,T-shirts,P2673,8, AED248.73 , AED0.04 ," AED1,910.25 "," AED1,667.85 ", AED242.39 , AED6.53 ,Europe,2,PayPal,No
O1101,12/04/2023,C561,31,Male,Electronics,Vegetables,P9306,1, AED22.13 , AED0.14 , AED19.03 , AED10.11 , AED8.92 , AED16.16 ,North America,5,PayPal,No
O1102,13/04/2023,C826,68,Male,Clothing,Smartphones,P8178,5, AED131.92 , AED0.26 , AED488.10 , AED378.42 , AED109.68 , AED17.09 ,North America,2,PayPal,Yes
O1103,14/04/2023,C351,24,Female,Clothing,Fruits,P3294,3, AED209.87 , AED0.17 , AED522.58 , AED425.38 , AED97.20 , AED9.07 ,Asia,3,Credit Card,No
O1104,15/04/2023,C801,20,Female,Groceries,Vegetables,P4630,1, AED147.02 , AED0.02 , AED144.08 , AED117.87 , AED26.21 , AED12.07 ,North America,3,PayPal,Yes
O1105,16/04/2023,C395,64,Female,Electronics,Fruits,P1146,3, AED76.82 , AED0.06 , AED216.63 , AED120.06 , AED96.58 , AED15.66 ,North America,4,PayPal,No
O1106,17/04/2023,C824,40,Male,Clothing,Fruits,P4453,6, AED366.73 , AED0.14 ," AED1,892.33 "," AED1,284.94 ", AED607.38 , AED11.59 ,North America,4,PayPal,No
O1107,18/04/2023,C819,63,Female,Groceries,Smartphones,P5507,7, AED408.44 , AED0.11 ," AED2,544.58 "," AED2,116.51 ", AED428.07 , AED6.69 ,Europe,3,Cash,No
